Geography,US_CS_2019,Pop_Est_2018,EV_2018,EV_total_2025,Weight_Range_low,Weight_Range_high,Housing_detached,Housing_units_1_attached,Apartments,One_car,Two_cars,Value_Median_dollars,Inc_household,DX32,DX90,lat,long
Tioga_County,0,48560,18,326,5995,805,15607,144,39574,6416,8113,113000,55726,57,5,42.3191,-76.2194
Tompkins_County,26,102793,177,3201,6159,1127,21781,1510,69571,14718,12921,190100,56672,57,7,42.4401,-76.2462
Ulster_County,60,178599,271,4901,2834,1288,59136,2293,151995,23767,27037,221600,63621,26,8,41.8677,-73.988
Warren_County,21,64265,37,669,4905,1932,28357,1007,71889,9636,10359,192800,60541,45,12,43.3588,-73.6285
Washington_County,1,61197,22,398,4142,2576,21921,430,53726,8079,9431,144900,52361,38,16,43.312377,-73.439428
Wayne_County,1,90064,40,723,4905,1771,30671,806,75173,12120,14065,118900,51326,45,11,43.0795,-77.2526
Westchester_County,86,967612,2710,49009,2017,2496,165520,21150,591245,122182,118479,513300,90578,19,16,41.06694,-73.7075
Wyoming_County,2,40085,2,36,9265,161,13730,278,33226,5255,6284,108500,51100,85,1,42.7058,-78.0937
Yates_County,3,24841,7,127,5341,1932,501,264,1125,2846,3493,128900,49335,49,12,42.6425,-77.05639
Alameda_County,311,1666753,18933,261822,5957,464,315916,49541,200735,513421,184062,204748,96296,55,3,37.5531,-121.8439
Alpine_County,2,1101,1,14,7084,348,1116,100,502,288,84,103,61343,65,2,38.6833,-119.7667
Amador_County,11,39383,57,788,6601,232,15294,479,1098,13598,3756,5530,52964,61,1,38.2486,-120.8433
Butte_County,19,231256,290,4010,7567,1972,61600,3408,18128,80220,28060,32326,49061,69,12,39.8716,-121.6108
Calaveras_County,4,45602,89,1231,2254,1392,24297,419,872,17210,4573,6633,54936,21,9,38.0047,-120.4863
Colusa_County,1,21627,23,318,10948,116,6251,363,702,6744,1703,2619,48897,100,1,39.1875,-122.0269
Contra_Costa_County,136,1150215,8932,123519,5796,928,274008,31035,89106,367728,107539,154268,95339,53,6,37.9833,-122.0692
Del_Norte_County,4,27828,26,360,7245,2320,7229,366,1008,8746,3743,3003,79414,66,14,41.7358,-123.7917
El_Dorado_County,34,190678,800,11063,9338,116,71970,1838,8992,64879,15703,27784,63002,86,1,38.7333,-120.245
Fresno_County,75,994400,2732,37780,14007,116,220865,7695,74884,275609,100436,110618,51800,129,1,36.9092,-119.0883
Glenn_County,1,28047,18,249,6601,464,8030,247,1286,9300,2887,3544,42129,61,3,39.4172,-122.1825
Humboldt_County,36,136373,371,5131,7245,348,42974,2386,9478,50006,18935,19710,46494,66,2,40.3172,-124.2816
Imperial_County,4,181827,126,1742,13846,116,36797,1711,11351,41842,13589,16336,47211,127,1,32.7397,-114.8839
Inyo_County,5,17987,41,567,7245,116,5954,291,714,7343,2689,2638,45784,66,1,35.8717,-117.9183
Kern_County,36,896764,1066,14742,5796,232,209163,7065,44848,246290,82668,100723,49854,53,1,35.4186,-119.0508
Kings_County,20,151366,179,2475,483,232,31894,1903,8091,39450,13011,16598,57555,4,1,36.2932,-119.7718
Lake_County,3,64382,107,1480,6118,1160,24394,397,2030,24413,9009,9271,48930,56,7,38.8619,-122.4172
Lassen_County,2,30802,9,124,10304,348,9842,123,809,8888,2653,3346,50487,95,2,40.7817,-120.7844
Los_Angeles_County,1315,10105518,52112,720650,7245,580,1729296,227942,1402913,2991899,1130340,1165144,65006,66,4,34.3617,-118.4217
Madera_County,17,157672,208,2876,9177,464,40003,939,4922,41684,12489,16461,51283,84,3,36.9969,-119.7072
Marin_County,88,259666,3830,52965,16583,116,71199,9753,26231,99675,34755,42122,94347,152,1,38.0281,-122.7022
Mariposa_County,10,17471,26,360,8694,464,7570,90,439,7195,1934,2784,113908,80,3,37.7617,-119.8247
