valid,tmpf
2019-01-20T00:00:00Z,9198.9
2019-01-27T00:00:00Z,9682.9
2019-02-03T00:00:00Z,9091.7
2019-02-10T00:00:00Z,10008.7
2019-02-17T00:00:00Z,8303.9
2019-02-24T00:00:00Z,9606
2019-03-03T00:00:00Z,10380.6
2019-03-10T00:00:00Z,9246.6
2019-03-17T00:00:00Z,9714.7
2019-03-24T00:00:00Z,9729.9
2019-03-31T00:00:00Z,10111.8
2019-04-07T00:00:00Z,10162.7
2019-04-14T00:00:00Z,9982.4
2019-04-21T00:00:00Z,10229.5
2019-04-28T00:00:00Z,10169.4
2019-05-05T00:00:00Z,10202
2019-05-12T00:00:00Z,10227.6
2019-05-19T00:00:00Z,10855.7
2019-05-26T00:00:00Z,10910.7
2019-06-02T00:00:00Z,10620
2019-06-09T00:00:00Z,12188.6
2019-06-16T00:00:00Z,11138.7
2019-06-23T00:00:00Z,11064.3
2019-06-30T00:00:00Z,10840
2019-07-07T00:00:00Z,11527.6
2019-07-14T00:00:00Z,11711.7
2019-07-21T00:00:00Z,11028.3
2019-07-28T00:00:00Z,11852.8
2019-08-04T00:00:00Z,12575.5
2019-08-11T00:00:00Z,5162.7
