LATITUDE,LONGITUDE
37.79589,-121.58319
34.6847,-117.8208
32.7465,-117.1098
37.7719,-122.1675
38.3778,-122.5343
33.9406,-117.2964
38.3653,-122.9738
38.7338,-120.711
39.3067,-121.0399
37.0022,-121.9363
40.0017,-120.915
41.2688,-123.3336
34.5431,-119.1842
39.7022,-123.485
32.8336,-116.7392
35.6181,-119.6892
33.9059,-117.5178
37.8769,-119.3436
36.6044,-118.7325
34.5822,-119.9817
34.4526,-119.7995
39.4172,-122.1825
36.4584,-118.8858
36.5927,-121.8555
37.6702,-121.8814
33.2372,-116.7614
33.6617,-115.7206
33.0507,-116.8278
41.2694,-123.1875
37.765,-122.4348
40.2506,-123.3158
34.128,-116.0369
34.1471,-116.2747
33.7455,-117.6199
36.9911,-121.7978
33.121,-117.09
39.5214,-120.0269
38.079,-122.5698
36.0333,-120.0569
39,-120.13
41.0593,-124.1398
36.1753,-118.7017
35.4867,-119.1458
38.85,-119.94
41.39,-123.4958
34.2712,-116.9383
39.3415,-123.7761
40.9778,-124.086
34.0542,-117.0383
40.8809,-124.0692
41.6431,-121.7939
33.2372,-117.0086
38.84,-119.89
38.9962,-120.986
38.7399,-121.2575
34.5686,-120.4083
41.5992,-122.9336
34.0973,-116.3178
38.635,-121.3611
35.7217,-118.4989
39.7999,-121.8915
37.9898,-122.1085
33.7965,-116.9753
38.66,-121.1395
36.2069,-121.1377
33.0158,-116.8068
38.6803,-120.691
34.8927,-117.0219
39.6681,-123.3211
41.008,-121.435
37.5436,-119.8386
32.8672,-116.4194
33.0736,-116.8458
33.2222,-116.4975
33.0763,-116.5925
32.9897,-116.5872
34.5883,-118.0938
32.9736,-115.1736
41.78139,-122.46806
37.4725,-122.4433
38.55,-119.8
35.4344,-119.0542
37.3711,-118.358
34.0608,-114.7322
37.5005,-120.855
33.0361,-117.0457
40.6507,-122.6068
38.2177,-121.2013
41.78028,-124.23667
36.98778,-120.11056
33.8016,-118.3419
40.3033,-121.2422
40.9167,-122.4383
35.3311,-119.1078
34.9455,-119.6827
33.686,-117.3458
35.5892,-119.352
37.8123,-122.216
38.9261,-121.5447
40.7659,-123.9985
41.9797,-122.3378
36.9969,-119.7072
35.3372,-120.5038
33.5417,-117.5917
37.9917,-122.055
40.4167,-120.6631
36.90883,-119.80069
37.2341,-121.8974
32.8428,-117.2208
41.58,-120.3
38.5908,-120.9336
33.0184,-117.0666
32.685,-116.9736
40.505,-123.3417
38.5552,-121.4183
36.9358,-121.7886
38.51,-119.63
32.8257,-117.2501
36.4914,-118.8253
32.9956,-117.0044
32.6381,-116.9753
34.20083,-119.20694
37.4777,-122.4454
38.0394,-122.57
33.27,-117.2663
37.5488,-122.2587
41.2897,-123.8575
37.463,-122.4408
37.9747,-119.9161
38.3842,-122.8191
34.0236,-118.2911
34.1233,-116.4078
39.33,-120.37
36.445,-118.7033
33.9306,-116.95
34.7325,-118.3833
33.01953,-117.03096
36.23,-121.4917
38.464,-122.715
38.5534,-122.7929
34.52918,-117.29288
34.705,-118.4297
35.4783,-117.6989
32.8797,-116.4203
34.2661,-116.8989
34.037,-117.1948
39.0717,-120.4217
35.6647,-118.0569
39.3886,-120.0936
38.492,-122.0039
37.8339,-122.0669
38.5252,-121.9777
33.3108,-117.0409
34.0836,-117.0347
38.8825,-121.2683
35.6697,-120.6283
35.23722,-120.64139
38.4305,-122.8647
33.445,-117.4181
36.6732,-121.7836
39.1439,-120.5089
34.0809,-118.2729
37.9783,-122.0134
34.425,-118.525
32.7348,-117.2447
41.9153,-124.136
37.4431,-121.7706
33.378,-116.84
38.8088,-120.8208
38.4699,-122.7333
33.12806,-117.27944
36.5672,-118.9556
39.19,-120.26
34.125,-118.4122
37.9906,-122.6447
37.9566,-122.5447
33.68,-117.86639
38.0011,-121.3665
34.4167,-119.6844
40.295,-122.8667
32.7397,-114.8839
39.4833,-120.075
37.7892,-120.7518
38.9875,-123.3486
38.7583,-120.503
37.8883,-122.1526
38.9056,-120.6972
36.0117,-121.2417
34.2936,-118.3608
33.0794,-117.2419
40.9316,-121.5433
32.7,-117.2
38.6829,-121.794
36.9614,-119.175
41.9992,-121.7003
40.55,-123.165
38.0096,-122.5801
41.3003,-123.1322
37.156,-121.9875
39.5177,-121.553
37.8511,-119.65
37.2748,-122.0227
37.95,-121.8844
40.0222,-120.1056
33.8081,-117.7111
36.4708,-121.1472
32.8856,-116.8149
37.0563,-120.8666
36.98785,-121.99952
36.6853,-119
39.8053,-120.4719
34.4206,-117.2661
38.9119,-122.7064
34.29481,-118.18849
36.2032,-119.0545
38.3775,-120.5452
32.7669,-115.5617
40.3983,-122.8333
40.5158,-122.2906
40.5239,-121.7957
40.8669,-121.8463
36.7282,-121.6562
39.2041,-121.068
39.01,-120.8455
36.8768,-119.7435
40.2461,-120.6422
33.938,-118.3888
33.5894,-117.8652
33.6472,-117.4111
37.9442,-122.1178
38.67,-119.61
34.7184,-118.0659
34.0864,-116.5622
37.9744,-122.1384
33.1474,-117.0656
33.0261,-117.0466
39.5619,-120.0478
32.6263,-116.4699
37.0919,-119.5128
33.7381,-116.8939
36.8749,-120.9386
38.1104,-122.6
37.7861,-122.1447
34.8994,-120.4486
37.2717,-119.802
38.3651,-122.5718
32.8005,-116.928
38.4916,-122.1241
40.8097,-124.1602
37.4681,-120.1106
40.1383,-123.8236
40.7367,-122.9404
34.3617,-118.4217
38.8983,-119.9947
38.8619,-122.4172
41.3156,-122.3156
34.4456,-117.8511
39.061,-120.9911
40.4,-122.1433
37.3292,-121.2939
35.8842,-118.0517
34.1483,-118.1447
41.0478,-123.6714
36.6636,-121.6081
36.8425,-118.2594
41.8386,-122.85
35.6841,-121.1683
39.5833,-120.3705
38.67,-119.82
35.3811,-120.1875
38.8325,-121.0086
38.5653,-119.4592
38.5523,-121.7855
34.4458,-118.2
37.8575,-122.2256
33.1658,-117.3307
34.5686,-118.7403
37.4613,-119.7417
37.475,-122.2981
38.2577,-122.6077
34.3294,-118.4005
32.7214,-116.4631
37.8744,-122.2605
32.81667,-115.68333
35.8989,-120.4319
34.3194,-117.0131
41.1117,-122.6967
38.2486,-120.8433
34.18211,-118.13827
38.3392,-122.7113
37.2028,-121.9428
40.8072,-121.2967
38.2736,-122.0677
41.9633,-121.923
38.93,-120.05
37.7617,-119.8247
40.0686,-121.5825
33.7403,-116.8414
34.1772,-118.8984
35.1889,-120.0833
39.3669,-122.575
38.5038,-122.8102
37.7214,-122.2208
40.5981,-121.0831
39.8644,-122.6097
33.8116,-118.1463
34.4806,-118.7556
41.3075,-122.7958
33.6645,-117.6264
34.2103,-116.6339
40.7141,-122.4161
39.1678,-120.1428
39.4932,-121.477
38.07,-119.23
40.3067,-120.9
33.8291,-117.77
32.9725,-117.265
37.8846,-122.0285
34.7331,-120.0067
36.5881,-121.8453
41.99,-120.72
34.3789,-117.6919
36.3825,-120.8558
36.3817,-119.0264
34.20056,-118.3575
40.3172,-124.2816
32.6261,-116.4681
35.1464,-118.4986
34.1208,-117.9458
34.4268,-118.4275
32.8569,-116.6222
39.9366,-120.9475
38.3,-119.55
37.6121,-122.4825
34.5225,-119.6822
39.0322,-121.0774
33.6081,-117.1878
38.6954,-121.0745
39.475,-121.2025
33.62667,-116.15944
34.05611,-117.60028
33.9511,-117.388
33.92278,-118.33417
33.9778,-120.0778
34.5025,-117.8969
34.5591,-115.7441
34.0697,-118.4427
33.6513,-116.3763
37.2119,-119.69
34.5958,-118.5786
34.6819,-119.3539
41.7417,-121.5383
38.5592,-121.7162
34.2149,-118.8367
34.7436,-118.7242
38.3208,-123.0747
32.8257,-117.1993
34.8083,-119.0125
33.405,-118.41583
37.865,-122.2208
41.7036,-122.6408
38.0281,-122.7022
33.9839,-118.01
37.9533,-121.9712
39.2384,-121.0058
40.1611,-122.3461
34.20972,-118.48917
33.8632,-117.7918
33.8275,-116.5097
41.1383,-123.9056
39.7358,-121.4889
34.2903,-114.1708
39.1019,-121.5677
34.2339,-117.4803
41.0547,-120.3375
32.8168,-117.0586
34.0918,-117.88012
38.0131,-122.1142
