Fuel Type Code,Station Name,Street Address,City,State,ZIP,Stations,Groups With Access Code,EV Network,Latitude,Longitude,Date Last Confirmed,ID,EV Connector Types,Access Code
ELEC,Peterson Automotive Museum,6060 Wilshire Boulevard,Los Angeles,CA,90036,1,Public,SemaCharge Network,34.0617496,-118.3613525,3/8/19,118983,J1772,public
ELEC,Greenlots - 4032019,California,California,CA,95112,1,Public,Greenlots,37.34562302,-121.8847198,3/7/19,118990,CHADEMO,public
ELEC,HMA NHQ,10550 Talbert Ave,Fountain Valley,CA,92708,1,Public,ChargePoint Network,33.7012449,-117.9419732,3/8/19,119001,J1772,public
ELEC,BROOKFIELD WEST,333 W 4th St,Los Angeles,CA,90071,1,Public,ChargePoint Network,34.0529331,-118.253952,3/8/19,119004,J1772,public
ELEC,BW - AIRPORT,1551 N Peach Ave,Fresno,CA,93727,1,Public,ChargePoint Network,36.764141,-119.718594,3/8/19,119007,J1772,public
ELEC,UCSD,4202 Bachman Pl,San Diego,CA,92103,1,Public,ChargePoint Network,32.753681,-117.163406,3/8/19,119013,J1772,public
ELEC,MANSFIELD,5100 Wilshire Blvd,Los Angeles,CA,90036,1,Public,ChargePoint Network,34.061844,-118.34115,3/8/19,119023,J1772,public
ELEC,UC SANTABARBARA,18 Ocean Rd Ocean Rd,Isla Vista,CA,93117,1,Public,ChargePoint Network,34.417734,-119.8480067,3/8/19,119025,J1772,public
ELEC,9378 WISHIRE EV,9378 Wilshire Blvd,Beverly Hills,CA,90212,1,Public,ChargePoint Network,34.06662,-118.396642,3/8/19,119026,J1772,public
ELEC,DLR,1601 E Cerritos Ave,Anaheim,CA,92806,1,Public,ChargePoint Network,33.8109162,-117.8904308,3/8/19,119036,J1772,public
ELEC,UCR,Canyon Crest + University,Riverside,CA,92507,1,Public,ChargePoint Network,33.9772836,-117.3304835,3/8/19,119041,J1772,public
ELEC,CSUEB,25800 Carlos Bee blvd. Hayward Ca. 94542,Hayward,CA,94542,1,Public,ChargePoint Network,37.6580826,-122.053392,3/8/19,119042,J1772,public
ELEC,RAYTHEON,2100 E El Segundo Blvd,El Segundo,CA,90245,1,Public,ChargePoint Network,33.91607,-118.389239,3/8/19,119047,J1772,public
ELEC,CITY HALL,58-74 Bridge St,West Sacramento,CA,95691,1,Public,ChargePoint Network,38.5767502,-121.5161122,3/8/19,119053,J1772,public
ELEC,CITY HALL,74 Bridge St,West Sacramento,CA,95691,1,Public,ChargePoint Network,38.5767832,-121.5161785,3/8/19,119054,J1772,public
ELEC,3059,3059 Townsgate Rd,Westlake Village,CA,91361,1,Public,ChargePoint Network,34.1532838,-118.8201295,3/8/19,119055,J1772,public
ELEC,Steeprock Garage,200 Steeprock Drive,North York,CA-ON,M3J 2T4,1,Public,Blink Network,43.758387,-79.472498,3/8/19,118337,J1772,public
ELEC,Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Commerce City,CO,80022,1,Public,,39.844569,-104.76788,11/8/18,38522,CHADEMO,public
ELEC,National Renewable Energy Laboratory - Denver West,15013 Denver W Pkwy,Golden,CO,80401,1,Private,,39.740236,-105.181918,5/3/18,39534,CHADEMO,private
ELEC,City of Boulder - East Boulder Community Center,5660 Sioux Dr,Boulder,CO,80303,1,Public,,39.99244,-105.225428,12/11/18,42432,CHADEMO,public
ELEC,New Belgium Brewing,500 Linden St,Fort Collins,CO,80524,1,Public - Call ahead,,40.593417,-105.0684,11/8/18,42529,CHADEMO,public
ELEC,City of Boulder - Facility Maintenance,1720 13th St,Boulder,CO,80302,1,Private,,40.014732,-105.277478,12/11/18,42540,CHADEMO,private
ELEC,City of Boulder - 63rd Street Water Treatment Plant,5487 N 63rd St,Boulder,CO,80301,1,Private,,40.086211,-105.206804,12/11/18,42541,CHADEMO,private
ELEC,City of Boulder - Municipal Service Center,5050 Pearl St,Boulder,CO,80301,1,Private,,40.024578,-105.232194,12/11/18,42542,CHADEMO,private
ELEC,City of Boulder - Park Central Building,1739 Broadway,Boulder,CO,80302,1,Private,,40.0148,-105.2792,12/11/18,42543,CHADEMO,private
ELEC,Tynan's Nissan,5811 S College Ave,Fort Collins,CO,80525,1,Public - Call ahead,,40.505604,-105.078041,6/5/18,43021,CHADEMO,public
