Fuel Type Code,Station Name,Street Address,City,State,ZIP,Stations,Groups With Access Code,EV Network,Latitude,Longitude,Date Last Confirmed,ID,EV Connector Types,Access Code
ELEC,University of California - Davis,Garrod Dr,Davis,CA,95616,1,Public,,38.532421,-121.770332,5/3/18,85995,J1772,public
ELEC,University of California - Davis,Bioletti Way,Davis,CA,95616,1,Public,,38.536692,-121.755586,5/3/18,85996,J1772,public
ELEC,University of California - Davis,Hilgard Ln,Davis,CA,95616,1,Public,,38.532506,-121.750085,5/3/18,85997,J1772,public
ELEC,University of California - Davis,Hilgard Ln,Davis,CA,95616,1,Public,,38.532506,-121.750085,5/3/18,85998,J1772,public
ELEC,University of California - Davis,2 Dairy Rd,Davis,CA,95616,1,Public,,38.539715,-121.758149,5/3/18,85999,J1772,public
ELEC,University of California - Davis,Orchard Dr,Davis,CA,95616,1,Public,,38.543779,-121.761823,5/3/18,86000,J1772,public
ELEC,6080 CENTER DR,6701 Center Dr W,Los Angeles,CA,90045,1,Public,ChargePoint Network,33.978917,-118.393754,3/8/19,86005,J1772,public
ELEC,COUNTY OF SB,2325 Finney St,Summerland,CA,93067,1,Public,ChargePoint Network,34.420136,-119.5993214,3/8/19,86013,J1772,public
ELEC,VALLEY SET,5561 Valley Blvd,Los Angeles,CA,90032,1,Public,ChargePoint Network,34.075173,-118.161756,3/8/19,86016,J1772,public
ELEC,VALLEY SET,2450-2458 Lillyvale Ave,Los Angeles,CA,90032,1,Public,ChargePoint Network,34.0760068,-118.1640763,3/8/19,86017,J1772,public
ELEC,VALLEY SET,2450 Lillyvale Ave,Los Angeles,CA,90032,1,Public,ChargePoint Network,34.0759875,-118.1640758,3/8/19,86022,J1772,public
ELEC,ALAMEDA,1131 Harbor Bay Pkwy,Alameda,CA,94502,1,Public,ChargePoint Network,37.728485,-122.231871,3/8/19,86031,J1772,public
ELEC,EMPLOYEE,1141 Harbor Bay Pkwy,Alameda,CA,94502,1,Private,ChargePoint Network,37.727829,-122.232219,3/8/19,86032,J1772,private
ELEC,LANCASTER,44233 15th St W,Lancaster,CA,93534,1,Public,ChargePoint Network,34.687306,-118.157029,3/8/19,86033,J1772,public
ELEC,LANCASTER,44241 15th St W,Lancaster,CA,93534,1,Public,ChargePoint Network,34.687395,-118.157029,3/8/19,86034,J1772,public
ELEC,LANCASTER,44215 15th St W,Lancaster,CA,93534,1,Public,ChargePoint Network,34.6870498,-118.1577163,3/8/19,86035,J1772,public
ELEC,CONTRA COSTA CO,2400 Bisso Ln,Concord,CA,94520,1,Public,ChargePoint Network,37.9841019,-122.0456929,3/8/19,86036,J1772,public
ELEC,Caltrans - District 10,1801 Motel Dr,Merced,CA,95340,1,Private,,37.288531,-120.455159,8/7/18,86039,J1772,private
ELEC,Caltrans - District 10,908 N Emerald Ave,Modesto,CA,95351,1,Private,,37.647827,-121.020114,8/7/18,86040,J1772,private
ELEC,Caltrans - District 3,981 N Beale Rd,Marysville,CA,95901,1,Private,,39.126584,-121.578722,8/7/18,86041,J1772,private
ELEC,Caltrans - District 6,1200 Olive Dr,Bakersfield,CA,93308,1,Private,,35.413211,-119.046734,8/7/18,86042,J1772,private
ELEC,Caltrans - District 12,1750 E 4th St,Santa Ana,CA,92705,1,Private,,33.747639,-117.841554,8/7/18,86043,J1772,private
ELEC,Caltrans - District 12,752 University Dr,Irvine,CA,92612,1,Private,,33.650138,-117.859016,8/7/18,86055,J1772,private
ELEC,Caltrans - District 12,19601 Beach Blvd,Huntington Beach,CA,92648,1,Private,,33.678256,-117.988731,8/7/18,86056,J1772,private
ELEC,Caltrans - District 8,320 S Sierra Way,San Bernardino,CA,92408,1,Private,,34.09572,-117.285073,8/7/18,86058,J1772,private
ELEC,Caltrans - District 3,9087 Elkmont Way,Elk Grove,CA,95624,1,Private,,38.382004,-121.364526,8/7/18,86059,J1772,private
ELEC,Caltrans - District 11,1463 Broadway,El Cajon,CA,92021,1,Private,,32.807447,-116.928829,8/7/18,86060,J1772,private
ELEC,Caltrans - District 10,611 San Juan Ave,Stockton,CA,95203,1,Private,,37.953754,-121.321852,8/7/18,86061,J1772,private
