Fuel Type Code,Station Name,Street Address,City,State,ZIP,Stations,Groups With Access Code,EV Network,Latitude,Longitude,Date Last Confirmed,ID,EV Connector Types,Access Code
ELEC,MP 225 LLC,100 Jay St,New York,NY,11201,1,Public,ChargePoint Network,40.7018205,-73.9868238,3/8/19,51687,J1772,public
ELEC,BARD ALMNCT,New York 9G,Red Hook,NY,12504,1,Public,ChargePoint Network,42.0234362,-73.9020369,3/8/19,51689,J1772,public
ELEC,NATIONAL GRID,216 Wolf Road,Albany,NY,12205,1,Public,ChargePoint Network,42.7258439,-73.799419,3/8/19,52014,J1772,public
ELEC,ATAHOUSING407,1734-1774 Mulford Ave,Bronx,NY,10461,1,Public,ChargePoint Network,40.8468211,-73.8346327,3/8/19,52016,J1772,public
ELEC,QUEENS COLLEGE,152-50 Melbourne Ave,Flushing,NY,11367,1,Public,ChargePoint Network,40.734525,-73.81793,3/8/19,52021,J1772,public
ELEC,"HAVERSTRAW, NY",40 New Main St,Haverstraw,NY,10927,1,Public,ChargePoint Network,41.196841,-73.966883,3/8/19,52023,J1772,public
ELEC,CAYUGA MED CTR.,91-273 Dates Dr,Ithaca,NY,14850,1,Public,ChargePoint Network,42.4689745,-76.5384526,3/8/19,52024,J1772,public
ELEC,NW HOSPITAL,400 E Main St,Mount Kisco,NY,10549,1,Public,ChargePoint Network,41.196727,-73.724645,3/8/19,52027,J1772,public
ELEC,NATIONAL GRID,25 Lake Ave,Saratoga Springs,NY,12866,1,Public,ChargePoint Network,43.0836144,-73.7821613,3/8/19,52029,J1772,public
ELEC,Lucas Ford,3245 Hortons Ln,Southold,NY,11971,1,Public - Call ahead,,41.069942,-72.43726,12/11/18,52063,J1772,public
ELEC,"HHPR, LLC",2-234 High Street Extension,Victor,NY,14564,1,Public,ChargePoint Network,43.0267557,-77.4377915,3/8/19,52257,J1772,public
ELEC,NATIONAL GRID,1220 NY-146,Clifton Park,NY,12065,1,Public,ChargePoint Network,42.8696062,-73.8239864,3/8/19,52285,J1772,public
ELEC,NATIONAL GRID,2080 Western Ave,Guilderland,NY,12084,1,Public,ChargePoint Network,42.6974948,-73.8909425,3/8/19,52286,J1772,public
ELEC,MP 225 LLC,225 Rector Pl,New York,NY,10280,1,Public,ChargePoint Network,40.7092248,-74.0161545,3/8/19,52290,J1772,public
ELEC,NATIONAL GRID,Putnam Way,Buffalo,NY,14228,1,Public,ChargePoint Network,43.0018132,-78.7884692,3/8/19,52578,J1772,public
ELEC,SYNAPSE EV,701 Irving Ave,Syracuse,NY,13210,1,Public,ChargePoint Network,43.042213,-76.137488,3/8/19,52583,J1772,public
ELEC,NATIONAL GRID,1814 Central Ave,Albany,NY,12205,1,Public,ChargePoint Network,42.7297408,-73.8510663,3/8/19,53107,J1772,public
ELEC,MONTEFIOREMOSES,613 E 233rd St,Bronx,NY,10466,1,Public,ChargePoint Network,40.894881,-73.860525,3/8/19,53110,J1772,public
ELEC,NATIONAL GRID,1300 Elmwood Ave,Buffalo,NY,14222,1,Public,ChargePoint Network,42.931359,-78.8791092,3/8/19,53112,J1772,public
ELEC,NATIONAL GRID,2232 Delaware Ave,Buffalo,NY,14216,1,Public,ChargePoint Network,42.9447402,-78.8703845,3/8/19,53113,J1772,public
ELEC,NATIONAL GRID,54 Crossing Blvd,Clifton Park,NY,12065,1,Public,ChargePoint Network,42.8611435,-73.7719182,3/8/19,53116,J1772,public
ELEC,NATIONAL GRID,488 Fairview Ave,Hudson,NY,12534,1,Public,ChargePoint Network,42.2810748,-73.7513719,3/8/19,53118,J1772,public
ELEC,NATIONAL GRID,2223 Canada St,Lake George,NY,12845,1,Public,ChargePoint Network,43.4145284,-73.7143982,3/8/19,53119,J1772,public
ELEC,CARCHARGING,445 Lafayette St,New York,NY,10003,1,Public,ChargePoint Network,40.729535,-73.991398,3/8/19,53120,J1772,public
ELEC,BEAM CHARGING,75 Park Place,New York,NY,10007,1,Public,ChargePoint Network,40.7142163,-74.0106122,3/8/19,53121,J1772,public
ELEC,GLENWOOD MGMT,330 West 39th Street,New York,NY,10018,1,Public,ChargePoint Network,40.7560286,-73.9926549,3/8/19,53123,J1772,public
ELEC,MONTEFIOREMOSES,111 E 210th St,New York,NY,10467,1,Public,ChargePoint Network,40.8797184,-73.8803938,3/8/19,53124,J1772,public
ELEC,CARCHARGING,204 E 80th St,New York,NY,10075,1,Public,ChargePoint Network,40.774703,-73.956695,3/8/19,53125,J1772,public
ELEC,NATIONAL GRID,3375 E Main St,Dunkirk,NY,14048,1,Public,ChargePoint Network,42.4641982,-79.2801216,3/8/19,53437,J1772,public
ELEC,NATIONAL GRID,5801 Rock Cut Rd,Jamesville,NY,13078,1,Public,ChargePoint Network,43.0050404,-76.1163108,3/8/19,53439,J1772,public
ELEC,Audia Chevrolet,3692 Route 44,Millbrook,NY,12545,1,Public - Call ahead,,41.791563,-73.659717,6/5/18,53442,J1772,public
ELEC,CARCHARGING,400 E 84TH ST,New York,NY,10028,1,Public,ChargePoint Network,40.775377,-73.950411,3/8/19,53448,J1772,public
