Geography,NY_CS_2019,Population_Est_2018,EV_2018,EV_total_2025,Weight_Range_low,dx32,Weight_Range_high,dx90,housing_units_detached,Total_housing_units_1_attached,Apartments,One_car,Two_cars,Three_m_cars,Value_units_Median_dollars,Latitude,Longitude,percent EV 2018,16838,304505,New_reg_EV2025
Richmond_County,4,476179,270,4883,1526,14,3381,21,61903,45771,328150,59123,55956,22706,460200,40.563855,–74.137063,,1.603515857,4882.78596,
Rockland_County,14,325695,466,8427,1526,14,3381,21,60221,8744,181202,29641,38976,20812,425100,41.0835,-73.993,,2.76754959,8427.32688,
St._Lawrence_County,10,108047,20,362,7339,67,1664,10,37683,737,93532,14783,16149,6632,88000,44.7281,-75.4442,,0.118778952,361.68785,
Saratoga_County,41,230163,246,4449,4069,37,2630,16,65270,4852,180139,29741,40595,18654,243600,43.04121,-73.82109,,1.460981114,4448.76054,
Schenectady_County,22,155350,176,3183,7085,65,2254,14,40671,1336,123298,19593,20261,8017,164100,42.817542,–74.043583,,1.045254781,3182.85307,
Schoharie_County,2,31097,13,235,5341,49,1691,11,12676,82,30952,4310,4626,2764,143300,42.4486,-74.4653,,0.077206319,235.0971,
Schuyler_County,2,17912,13,235,6976,64,483,3,6873,35,16910,2442,2691,1804,114700,42.4422,-76.7586,,0.077206319,235.0971,
Seneca_County,6,34300,7,127,4360,40,1610,10,11460,193,28759,4388,5648,2474,98400,42.782294,–76.827088,,0.041572633,126.59075,
Steuben_County,8,95796,29,524,6540,60,1449,9,33170,712,86384,14134,15211,7348,95300,42.1341,-77.0691,,0.172229481,524.44738,
Suffolk_County,105,1481093,2043,36946,2017,19,1191,7,459741,25738,1081982,130546,195871,136946,379400,40.6772,-73.4103,,12.13326998,36946.41377,
Sullivan_County,7,75498,37,669,5886,54,644,4,35607,1210,89743,10351,9753,4658,167900,41.5739,-74.4871,,0.219741062,669.12252,
Tioga_County,0,48560,18,326,5995,55,805,5,15607,144,39574,6416,8113,4244,113000,42.3191,-76.2194,,0.106901057,325.51906,
Tompkins_County,26,102793,177,3201,6159,57,1127,7,21781,1510,69571,14718,12921,5609,190100,42.4401,-76.2462,,1.051193728,3200.93746,
Ulster_County,60,178599,271,4901,2834,26,1288,8,59136,2293,151995,23767,27037,13679,221600,41.8677,-73.988,,1.609454805,4900.87035,
Warren_County,21,64265,37,669,4905,45,1932,12,28357,1007,71889,9636,10359,4810,192800,43.3588,-73.6285,,0.219741062,669.12252,
Washington_County,1,61197,22,398,4142,38,2576,16,21921,430,53726,8079,9431,4956,144900,43.312377,–73.439428,,0.130656848,397.85663,
Wayne_County,1,90064,40,723,4905,45,1771,11,30671,806,75173,12120,14065,7869,118900,43.0795,-77.2526,,0.237557905,723.3757,
Westchester_County,86,967612,2710,49009,2017,19,2496,16,165520,21150,591245,122182,118479,55550,513300,41.06694,-73.7075,,16.09454805,49008.70353,
Wyoming_County,2,40085,2,36,9265,85,161,1,13730,278,33226,5255,6284,3150,108500,42.7058,-78.0937,,0.011877895,36.16878,
Yates_County,3,24841,7,127,5341,49,1932,12,501,264,1125,2846,3493,1761,128900,42.6425,-77.05639,,0.041572633,126.59075,
