GEO.id,GEO.id2,GEO.display-label,,,,,,HC01_VC03,HC02_VC03,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC50,HC02_VC50,HC01_VC64,HC02_VC64,HC01_VC69,HC02_VC69,HC01_VC70,HC02_VC70,HC01_VC84,HC02_VC84,HC03_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC120,HC02_VC120,HC03_VC120,HC04_VC120,HC01_VC121,HC02_VC121,HC03_VC121,HC04_VC121,HC01_VC122,HC02_VC122,HC03_VC122,HC04_VC122,HC01_VC123,HC02_VC123,HC03_VC123,HC04_VC123,HC01_VC124,HC02_VC124,HC03_VC124,HC04_VC124,HC01_VC125,HC02_VC125,HC03_VC125,HC04_VC125,HC01_VC126,HC02_VC126,HC03_VC126,HC04_VC126,HC01_VC127,HC02_VC127,HC03_VC127,HC04_VC127,HC01_VC128,HC02_VC128
0500000US36017,36017,"Chenango County, New York",,,,,,25269,78,25269,78,15760,389,62.4,1.6,247,73,1,0.3,1330,196,5.3,0.8,1395,228,5.5,0.9,590,129,2.3,0.5,202,69,0.8,0.3,438,98,1.7,0.4,5.8,0.1,20373,328,2.41,0.05,2.22,0.11,20373,328,20373,1567,194,7.7,0.9,2823,275,18.5,1.7,5170,274,33.9,1.7,3504,261,23,1.6,1888,182,12.4,1.1,1224,179,8,1.2,441,116,2.9,0.7,173,87,1.1,0.6,42,32,0.3,0.2,95900,3203
0500000US36019,36019,"Clinton County, New York",,,,,,36352,187,36352,187,22196,603,61.1,1.6,927,194,2.6,0.5,1847,254,5.1,0.7,2438,354,6.7,1,1639,259,4.5,0.7,704,120,1.9,0.3,1239,171,3.4,0.5,5.6,0.1,31680,443,2.4,0.05,2.16,0.07,31680,443,31680,2954,356,9.3,1.1,2304,246,10.7,1.1,4985,396,23.1,1.7,5888,376,27.3,1.7,4218,325,19.6,1.6,2854,292,13.2,1.3,875,142,4.1,0.6,295,95,1.4,0.4,123,54,0.6,0.2,129000,3521
0500000US36021,36021,"Columbia County, New York",,,,,,33252,165,33252,165,24497,419,73.7,1.3,638,139,1.9,0.4,2003,230,6,0.7,1362,221,4.1,0.7,1079,209,3.2,0.6,360,136,1.1,0.4,792,135,2.4,0.4,5.7,0.1,25470,413,2.39,0.04,2.14,0.08,25470,413,25470,1847,238,7.3,0.9,1116,209,6.1,1.1,989,219,5.4,1.2,1914,230,10.4,1.2,3538,326,19.2,1.7,5582,369,30.3,1.9,3359,320,18.2,1.7,1436,176,7.8,1,495,104,2.7,0.6,224600,5217
0500000US36023,36023,"Cortland County, New York",,,,,,20724,131,20724,131,12630,347,60.9,1.7,279,82,1.3,0.4,2178,257,10.5,1.2,1829,274,8.8,1.3,1096,166,5.3,0.8,410,117,2,0.6,747,160,3.6,0.8,5.8,0.1,17925,366,2.65,0.07,2.22,0.1,17925,366,17925,1617,240,9,1.3,817,126,7,1.1,3849,286,33.2,2.1,3346,251,28.8,2,1673,176,14.4,1.6,1347,182,11.6,1.5,393,100,3.4,0.9,97,38,0.8,0.3,76,53,0.7,0.5,113900,3286
0500000US36025,36025,"Delaware County, New York",,,,,,31524,139,31524,139,23358,425,74.1,1.3,208,80,0.7,0.3,1067,191,3.4,0.6,1180,201,3.7,0.6,868,183,2.8,0.6,277,83,0.9,0.3,439,92,1.4,0.3,5.3,0.2,19098,416,2.31,0.05,2.2,0.13,19098,416,19098,1805,211,9.5,1.1,1339,188,9.6,1.3,3210,285,22.9,1.8,3071,277,21.9,1.9,2372,237,16.9,1.7,2410,239,17.2,1.7,1110,163,7.9,1.2,384,81,2.7,0.6,112,70,0.8,0.5,138000,7168
0500000US36027,36027,"Dutchess County, New York",,,,,,120136,379,120136,379,77424,802,64.4,0.7,6206,397,5.2,0.3,7762,689,6.5,0.6,8678,578,7.2,0.5,7178,607,6,0.5,3467,394,2.9,0.3,5605,517,4.7,0.4,5.9,0.1,107384,835,2.73,0.03,2.24,0.05,107384,835,107384,8662,616,8.1,0.6,2691,254,3.6,0.3,2082,321,2.8,0.4,3682,329,5,0.4,8666,483,11.7,0.6,26519,807,35.7,0.9,23537,715,31.7,1,6030,465,8.1,0.6,1057,188,1.4,0.3,275200,2437
0500000US36029,36029,"Erie County, New York",,,,,,425716,484,425716,484,249242,1735,58.5,0.4,11860,546,2.8,0.1,79444,1532,18.7,0.4,25016,1060,5.9,0.2,20074,908,4.7,0.2,10112,732,2.4,0.2,23980,837,5.6,0.2,5.9,0.1,386371,1557,2.46,0.01,2.06,0.02,386371,1557,386371,51837,1365,13.4,0.3,20610,911,8.2,0.4,50587,1252,20.1,0.5,66522,1402,26.5,0.5,45233,1023,18,0.4,41079,1119,16.4,0.4,20630,757,8.2,0.3,5388,526,2.1,0.2,1163,239,0.5,0.1,139900,1106
0500000US36031,36031,"Essex County, New York",,,,,,26114,188,26114,188,20532,408,78.6,1.6,476,141,1.8,0.5,996,201,3.8,0.8,1033,224,4,0.9,619,167,2.4,0.6,203,123,0.8,0.5,448,88,1.7,0.3,5.6,0.2,15257,471,2.39,0.07,2.1,0.12,15257,471,15257,1147,170,7.5,1.1,790,153,6.8,1.3,2630,243,22.7,2,2498,282,21.5,2.2,1932,197,16.7,1.7,1815,218,15.6,1.7,1285,172,11.1,1.5,490,110,4.2,1,160,72,1.4,0.6,146900,6844
0500000US36033,36033,"Franklin County, New York",,,,,,25582,175,25582,175,18647,363,72.9,1.4,235,134,0.9,0.5,1091,194,4.3,0.8,1116,225,4.4,0.9,740,182,2.9,0.7,360,129,1.4,0.5,399,86,1.6,0.3,5.7,0.1,18956,396,2.43,0.06,2.24,0.1,18956,396,18956,1797,259,9.5,1.3,2025,196,14.7,1.4,4711,290,34.1,1.9,2845,302,20.6,2.1,1544,220,11.2,1.5,1467,192,10.6,1.3,816,190,5.9,1.4,320,100,2.3,0.7,92,48,0.7,0.3,102200,3840
0500000US36035,36035,"Fulton County, New York",,,,,,29004,106,29004,106,19991,563,68.9,1.9,205,86,0.7,0.3,3313,336,11.4,1.2,1409,224,4.9,0.8,474,138,1.6,0.5,263,106,0.9,0.4,498,132,1.7,0.5,5.7,0.1,22535,449,2.35,0.06,2.33,0.1,22535,449,22535,2114,310,9.4,1.4,2067,273,12.9,1.7,5392,414,33.5,2.1,3263,293,20.3,1.7,2110,289,13.1,1.7,2075,255,12.9,1.6,857,157,5.3,1,256,85,1.6,0.5,65,40,0.4,0.2,107600,4810
0500000US36037,36037,"Genesee County, New York",,,,,,25712,83,25712,83,18533,338,72.1,1.3,504,176,2,0.7,2173,243,8.5,0.9,1116,173,4.3,0.7,706,153,2.7,0.6,263,86,1,0.3,762,114,3,0.4,6.2,0.2,23951,267,2.5,0.04,2.18,0.1,23951,267,23951,1818,250,7.6,1,1528,224,8.8,1.2,5728,429,33,2.3,5224,336,30.1,2,2661,287,15.3,1.7,1605,209,9.2,1.2,454,115,2.6,0.7,140,66,0.8,0.4,29,22,0.2,0.1,111900,2894
0500000US36039,36039,"Greene County, New York",,,,,,29625,133,29625,133,22204,452,75,1.6,789,126,2.7,0.4,1341,235,4.5,0.8,1324,237,4.5,0.8,778,169,2.6,0.6,607,142,2,0.5,372,123,1.3,0.4,5.7,0.1,17106,437,2.65,0.08,2.47,0.17,17106,437,17106,1307,244,7.6,1.4,785,156,6.1,1.2,1398,190,10.8,1.5,2687,340,20.7,2.5,2936,336,22.7,2.4,3156,302,24.4,2.1,1412,196,10.9,1.5,499,120,3.9,0.9,87,48,0.7,0.4,176100,5663
0500000US36041,36041,"Hamilton County, New York",,,,,,8885,62,8885,62,7858,95,88.4,1,41,19,0.5,0.2,44,20,0.5,0.2,37,16,0.4,0.2,13,15,0.1,0.2,17,16,0.2,0.2,5,7,0.1,0.1,5.1,0.1,1095,97,4.12,0.44,4.18,1.03,1095,97,1095,53,26,4.8,2.5,39,15,4.2,1.6,161,47,17.4,4.7,204,48,22,4.9,187,42,20.2,4.4,122,26,13.2,2.9,137,44,14.8,4.1,64,25,6.9,2.6,13,8,1.4,0.9,164000,11073
0500000US36043,36043,"Herkimer County, New York",,,,,,33726,101,33726,101,23430,466,69.5,1.4,361,111,1.1,0.3,2867,340,8.5,1,1349,242,4,0.7,923,192,2.7,0.6,553,161,1.6,0.5,956,170,2.8,0.5,5.8,0.1,25187,448,2.52,0.05,2.28,0.1,25187,448,25187,2376,327,9.4,1.3,2469,250,13.7,1.3,7089,391,39.3,1.7,3442,261,19.1,1.4,2312,219,12.8,1.1,1661,193,9.2,1.1,649,112,3.6,0.6,312,83,1.7,0.5,119,55,0.7,0.3,95800,2418
0500000US36045,36045,"Jefferson County, New York",,,,,,59547,259,59547,259,34043,641,57.2,1.1,3810,374,6.4,0.6,3247,398,5.5,0.7,4348,410,7.3,0.7,3009,351,5.1,0.6,996,187,1.7,0.3,2579,274,4.3,0.5,5.4,0.1,43206,653,2.63,0.05,2.44,0.06,43206,653,43206,3749,354,8.7,0.8,2243,267,9.3,1.1,4170,334,17.4,1.3,5652,347,23.5,1.4,5048,347,21,1.4,4431,356,18.5,1.3,1660,227,6.9,1,624,164,2.6,0.7,184,69,0.8,0.3,149300,3782
0500000US36047,36047,"Kings County, New York",,,,,,1028383,828,1028383,828,53660,1246,5.2,0.1,88807,1523,8.6,0.1,184397,2437,17.9,0.2,172855,2600,16.8,0.3,110392,1754,10.7,0.2,59299,1678,5.8,0.2,356928,2371,34.7,0.2,4,0.1,944650,2565,3.06,0.02,2.61,0.01,944650,2565,944650,524172,3269,55.5,0.3,7284,448,2.6,0.2,4269,379,1.5,0.1,5025,377,1.8,0.1,5863,443,2.1,0.2,17639,752,6.2,0.3,63042,1429,22.2,0.5,123614,1784,43.6,0.5,57016,1329,20.1,0.4,623900,3713
0500000US36049,36049,"Lewis County, New York",,,,,,15519,98,15519,98,12200,242,78.6,1.5,101,48,0.7,0.3,497,133,3.2,0.9,457,121,2.9,0.8,126,52,0.8,0.3,69,30,0.4,0.2,156,47,1,0.3,5.3,0.1,10236,237,2.67,0.07,2.29,0.15,10236,237,10236,498,112,4.9,1.1,747,91,9.4,1.1,2309,173,28.9,2,1999,154,25,1.7,1193,148,14.9,1.9,1096,136,13.7,1.6,446,101,5.6,1.2,145,58,1.8,0.7,52,30,0.7,0.4,121700,4006
0500000US36051,36051,"Livingston County, New York",,,,,,27427,187,27427,187,18990,378,69.2,1.3,389,116,1.4,0.4,1467,229,5.3,0.8,1527,333,5.6,1.2,1185,230,4.3,0.8,555,158,2,0.6,449,149,1.6,0.5,6,0.1,24432,369,2.47,0.05,2.13,0.11,24432,369,24432,1894,325,7.8,1.3,1759,202,9.8,1.1,4894,322,27.4,1.7,4613,309,25.8,1.7,3492,285,19.5,1.6,2119,217,11.8,1.2,753,177,4.2,1,222,78,1.2,0.4,36,18,0.2,0.1,125000,3956
0500000US36053,36053,"Madison County, New York",,,,,,32137,172,32137,172,23332,513,72.6,1.6,341,118,1.1,0.4,1973,285,6.1,0.9,1129,227,3.5,0.7,1193,259,3.7,0.8,504,141,1.6,0.4,554,132,1.7,0.4,5.9,0.1,26307,560,2.6,0.05,2.31,0.11,26307,560,26307,1609,247,6.1,0.9,1917,221,9.6,1.1,5192,371,26,1.7,4219,363,21.1,1.7,3256,285,16.3,1.4,3109,259,15.6,1.3,1846,233,9.2,1.2,333,101,1.7,0.5,113,53,0.6,0.3,132800,4961
0500000US36055,36055,"Monroe County, New York",,,,,,325818,523,325818,523,206453,1139,63.4,0.4,18530,870,5.7,0.3,22322,905,6.9,0.3,19971,908,6.1,0.3,22851,934,7,0.3,9641,706,3,0.2,23196,938,7.1,0.3,5.9,0.1,300496,1309,2.54,0.02,2.16,0.02,300496,1309,300496,34447,945,11.5,0.3,10331,502,5.4,0.3,35536,979,18.5,0.5,58815,1065,30.7,0.5,39632,1189,20.7,0.6,30548,1036,15.9,0.5,12884,650,6.7,0.3,3238,317,1.7,0.2,797,179,0.4,0.1,142300,996
