STATION,County,NAME,LATITUDE,LONGITUDE,LatLong,,ELEVATION,DATE,CLDD,DT00,DX32,DX70,DX90,HTDD
USC00309000,Jefferson,"WATERTOWN, NY US",43.9761,-75.8753,"(43.9761, -75.8753)",,151.5,2018,809,17,57,127,11,7310
US1NYQN0002,Kings/queens,"MIDDLE VILLAGE 0.5 SW, NY US",40.7145,-73.8819,"(40.7145, -73.8819)",,32.3,2018,,,,,,
LEWIS,,,,,,,,,,31,77.5,118.5,4,
USC00308248,Lewis,"STILLWATER RESERVOIR, NY US",43.8999,-75.0367,"(43.8999, -75.0367)",,515.1,2018,,,,,,
USC00303851,Lewis,"HIGHMARKET, NY US",43.5752,-75.5207,"(43.5752, -75.5207)",,537.4,2018,280,37,88,109,2,9204
USC00303961,Lewis,"HOOKER 12 NNW, NY US",43.8524,-75.7158,"(43.8524, -75.7158)",,450.5,2018,,,,,,
USC00304912,Lewis,"LOWVILLE, NY US",43.7929,-75.4829,"(43.7929, -75.4829)",,,,582,25,67,128,6,
LIVINGSTON,,,,,,,,,,8.4,39,144,13,
USC00305597,Livingston,"MOUNT MORRIS 2 W, NY US",42.7313,-77.9054,"(42.7313, -77.9054)",,268.2,2018,740,9,48,144,11,6786
US1NYNG0030,Livingston,"LOCKPORT 2.5 ESE, NY US",43.1521,-78.6534,"(43.1521, -78.6534)",,195.7,2018,,,,,,
USC00301974,Livingston,"DANSVILLE, NY US",42.56496,-77.71755,"(42.56496, -77.71755)",,201.2,2018,884,10,30,146,21,6464
USW00094704,Livingston,"DANSVILLE MUNICIPAL AIRPORT, NY US",42.57083,-77.71333,"(42.57083, -77.71333)",,208.8,2018,900,5,30,146,20,6227
USC00309089,Livingston,"WEST BLOOMFIELD 1 S, NY US",42.8846,-77.534,"(42.8846, -77.534)",,301.8,2018,,,,,,
USC00303773,Livingston,"HEMLOCK, NY US",42.7743,-77.6083,"(42.7743, -77.6083)",,274.9,2018,700,9,42,143,4,6617
USC00300343,Livingston,"AVON, NY US",42.9203,-77.7557,"(42.9203, -77.7557)",,166.1,2018,667,9,45,141,9,6885
USC00305512,Madison,"MORRISVILLE 6 SW, NY US",42.8416,-75.7263,"(42.8416, -75.7263)",,512.4,2018,,,,,,7905
US1NYMD0022,Madison,"ONEIDA 0.4 NW, NY US",43.0801,-75.6686,"(43.0801, -75.6686)",,172.2,2018,,,,,,
MONROE,,,,,,,,,,4.333333333,38,141,15.33333333,
USC00309049,Monroe,"WEBSTER 2 NE, NY US",43.2419,-77.3882,"(43.2419, -77.3882)",,83.8,2018,827,5,32,143,15,6448
