STATION,County,NAME,LATITUDE,LONGITUDE,LatLong,,ELEVATION,DATE,CLDD,DT00,DX32,DX70,DX90,HTDD
USW00064758,Tompkins,"ITHACA 13 E, NY US",42.4401,-76.2462,"(42.4401, -76.2462)",,374.3,2018,,,,,,
USC00304174,Tompkins,"ITHACA CORNELL UNIVERSITY, NY US",42.4491,-76.4491,"(42.4491, -76.4491)",,292.6,2018,573,13,53,130,9,7248
USC00303050,Tompkins,"FREEVILLE 1 NE, NY US",42.5192,-76.331,"(42.5192, -76.331)",,320,2018,546,15,60,131,5,7479
Ulster,,,,,,,,,,4,26,140,8,
USC00306570,Ulster,"PHONECIA 2 SW, NY US",42.0674,-74.3356,"(42.0674, -74.3356)",,323.1,2018,,,,,,
US1NYUL0016,Ulster,"ROSENDALE VILLAGE 1.8 WNW, NY US",41.8608,-74.1075,"(41.8608, -74.1075)",,90.8,2018,,,,,,
US1NYUL0020,Ulster,"ULSTER PARK 0.9 NNW, NY US",41.8677,-73.988,"(41.8677, -73.988)",,53.6,2018,,,,,,
US1NYUL0028,Ulster,"KERHONKSON 3.7 N, NY US",41.8321,-74.3012,"(41.8321, -74.3012)",,273.1,2018,,,,,,
USC00305426,Ulster,"MOHONK LAKE, NY US",41.7681,-74.155,"(41.7681, -74.155)",,379.5,2018,887,4,26,140,8,6042
WARREN,,,,,,,,,,11,45,129,12,
US1NYWR0013,Warren,"QUEENSBURY 2.5 E, NY US",43.3588,-73.6285,"(43.3588, -73.6285)",,92.4,2018,,,,,,
USC00305925,Warren,"NORTH CREEK 5 SE, NY US",43.6611,-73.8969,"(43.6611, -73.8969)",,271.3,2018,,,,,,
USW00014750,Warren,"GLENS FALLS AIRPORT, NY US",43.33845,-73.61028,"(43.33845, -73.61028)",,97.8,2018,584,11,45,129,12,7422
USC00304537,Warren,"LAKE LUZERNE, NY US",43.2613,-73.8343,"(43.2613, -73.8343)",,185.9,2018,,,,,,
US1NYSR0006,Warren,"GANSEVOORT 1.3 WNW, NY US",43.2003,-73.6755,"(43.2003, -73.6755)",,,,,,,,,
Wayne,,,,,,,,,,8,50,124,10,
US1NYWN0006,Wayne,"PALMYRA 1.6 NW, NY US",43.0795,-77.2526,"(43.0795, -77.2526)",,151.8,2018,,,,,,
USC00307842,Wayne,"SODUS 1 W, NY US",43.2359,-77.0841,"(43.2359, -77.0841)",,135.3,2018,619,8,50,124,10,7051
WESTCHESTER,,,,,,,,,,2,18.5,144,15.5,
US1NYWC0007,Westchester,"YORKTOWN HEIGHTS 0.6 SW, NY US",41.2649,-73.7899,"(41.2649, -73.7899)",,174,2018,,,,,,
US1NYWC0006,Westchester,"SOUTH SALEM 2.1 NW, NY US",41.3003,-73.57,"(41.3003, -73.57)",,151.5,2018,,,,,,
USW00094745,Westchester,"WESTCHESTER CO AIRPORT, NY US",41.06694,-73.7075,"(41.06694, -73.7075)",,115.5,2018,1013,1,16,144,12,5449
USC00307742,Westchester,"SHRUB OAK, NY US",41.3325,-73.837,"(41.3325, -73.837)",,140.8,2018,851,3,21,144,19,6011
US1NYWC0018,Westchester,"ARMONK 0.3 SE, NY US",41.13,-73.7082,"(41.13, -73.7082)",,,,,,,,,
Wyoming,,,,,,,,,,64.5,35,122,0,
USC00300317,Wyoming,"ATTICA 7 SW, NY US",42.8107,-78.3979,"(42.8107, -78.3979)",,416.1,2018,,,,,,
USC00306745,Wyoming,"PORTAGEVILLE, NY US",42.5699,-78.0405,"(42.5699, -78.0405)",,356,2018,,,,,,
US1NYSF0085,Wyoming,"PATCHOGUE 0.9 SE, NY US",40.7516,-73.0092,"(40.7516, -73.0092)",,1.2,2018,,,,,,
USC00309593,Wyoming,"WYOMING 3 W, NY US",42.8206,-78.1481,"(42.8206, -78.1481)",,472.4,2018,507,9,70,122,0,
USC00300220,Wyoming,"ARCADE, NY US",42.5347,-78.4575,"(42.5347, -78.4575)",,434.9,2018,,,,,,
USC00307749,Wyoming,"SILVER SPRINGS 3 N, NY US",42.7058,-78.0937,"(42.7058, -78.0937)",,,,,,,,,
USC00308962,Wyoming,"WARSAW 6 SW, NY US",42.6855,-78.2202,"(42.6855, -78.2202)",,487,13,85,120,0,,,
USW00054778,Yates,"PENN YAN AIRPORT, NY US",42.6425,-77.05639,"(42.6425, -77.05639)",,275.2,2018,,,,,,
US1NYYT0005,Yates,"PENN YAN 5.1 NNW, NY US",42.7326,-77.0766,"(42.7326, -77.0766)",,332.2,2018,,,,,,
